CELLNAME,INSTCOUNT,LOWERLEFT_X,LOWERLEFT_Y,WIDTH,HEIGHT,DEVCOUNT,FUBLIST,INSTCOUNT SUMMARY
exe_basic_int_keeper_30ff,271,0,-7830,1.16,1.566,12,iealumx5c:iealumxc:ieshiftmxd,datap->(271)
exe_basic_int_keeper_70ff_fast,68,0,-7830,1.16,1.566,12,iealumx5c:iemulld:ieshiftmxd,datap->(68)
exe_basic_int_keeper_7to1_30ff,31,0,-7830,1.16,1.566,12,iealumxc:iemulld,datap->(31)
exe_basic_int_mux_10ff,1242,0,-7830,1.16,1.566,10,agsrfd:iemulld,datap->(666) regf->(576)
exe_basic_int_mux_30ff,1210,0,-7830,1.16,1.566,11,iealumx5c:iealumxc:ieshiftmxd,datap->(1210)
exe_basic_int_mux_30ff_skew,416,0,-7830,1.16,1.566,12,iealumx5c:iealumxc,datap->(416)
exe_basic_int_mux_70ff_bare_skew,34,-2320,-7830,1.74,1.566,22,iealumx5c:iemulld,datap->(34)
exe_basic_int_mux_70ff_fast,248,-1160,-7830,1.624,1.566,20,iealumx5c:iemulld:ieshiftmxd,datap->(248)
exe_basic_int_mux_70ff_skew,36,-2320,-7830,1.74,1.566,22,iealumx5c:iemulld,datap->(36)
exe_basic_int_mux_7to1_30ff,124,0,-7830,1.276,1.566,14,iealumxc:iemulld,datap->(124)
exe_basic_int_out_10ff,207,0,-7830,0.696,1.566,6,agsrfd:iemulld,datap->(111) regf->(96)
exe_basic_int_out_30ff,302,0,-7830,1.276,1.566,15,iealumx5c:iealumxc:iemulld:ieshiftmxd,datap->(302)
exe_basic_mux_105ff,776,2320,-7830,1.624,1.566,20,fpmgenfd:fpmgensd,datap->(776)
exe_basic_mux_110ff,1024,2320,-7830,1.624,1.566,20,exehsih0rptd:exehsil0rptd,repeater->(1024)
exe_basic_mux_110ff_noll,96,1160,-7830,1.856,1.566,24,fpaalgd,datap->(96)
exe_basic_mux_50ff,424,1160,-7830,1.16,1.566,12,fpmgenfd:fpmgensd,datap->(424)
exe_basic_mux_bare_30ff,31,5800,-7830,0.928,1.566,7,iealumxc:iemulld,datap->(31)
exe_basic_mux_bare_70ff,33,5800,-7830,0.928,1.566,7,iealumx5c:iemulld:ieshiftmxd,datap->(33)
exe_basic_mux_complex_70ff,288,-1160,-7830,1.624,1.566,20,ieshiftmxd,datap->(288)
exe_basic_out_complex_70ff,387,0,-7830,1.972,1.566,27,iealumx5c:iemulld:ieshiftmxd:sialud:sishiftd:sishufhd:sishufld,datap->(387)
exe_basic_si_6to1_70ff,1388,-1160,-7830,1.624,1.566,20,sialud:sishiftd:sishufhd:sishufld,datap->(1388)
exe_basic_si_keep_6to1_30ff_set,256,0,-7830,1.16,1.566,12,shufgssed,datap->(256)
exe_basic_si_keeper_6to1_30ff,118,0,-7830,1.16,1.566,10,sishufhd:sishufld,datap->(118)
exe_basic_si_mux_6to1_30ff,1496,-1160,-7830,1.276,1.566,14,shufgssed:sishufhd:sishufld,datap->(1496)
exe_basic_si_out_6to1_30ff,374,0,-7830,1.276,1.566,15,shufgssed:sishufhd:sishufld,datap->(374)
exe_basic_simd_keeper_30ff,122,0,-7830,0.928,1.566,8,sishiftd,datap->(122)
exe_basic_simd_keeper_70ff,140,0,-7830,1.16,1.566,12,sialud:sishiftd,datap->(140)
exe_basic_simd_mux_30ff,488,0,-7830,1.044,1.566,10,sishiftd,datap->(488)
exe_basic_simd_out_30ff,122,0,-7830,1.276,1.566,15,sishiftd,datap->(122)
fmwcsa42_4pg,1732,-1160,-7830,0.928,1.566,8,fpmwtreesd,datap->(1732)
fmwcsa42_4pg_small,26,-1160,-7830,0.928,1.566,8,fpmwtreesd,datap->(26)
fmwfcsa42_4pg,1989,-1160,-7830,0.928,1.566,8,fpmwtreefd,datap->(1989)
fpaadd_mpb40nn0i0,5,0,-7830,1.276,1.566,12,fpaaddd,datap->(5)
g10,24,0,-7830,1.856,1.566,20,ifldchainc,datap->(24)
g9,24,0,-7830,0.58,1.566,6,ifldchainc,datap->(24)
gio_comp_vnot_ll_p077_n07,1,0,-7830,0.464,1.566,4,giopcicom,datap->(1)
gio_gsr_2tap3t,692,0,-7830,0.348,1.566,0,giodpl:giodpp:giopcichunk:giopcicom,datap->(692)
gio_gsr_2tap_vccp,6772,0,-7830,0.232,1.566,0,gioddrcmdn:giodpl:giodpp:giopcichunk:giopcicom,datap->(6772)
