YG CELL NAME,YG NOMINAL CELL NAME,YG WIDTH,YG HEIGHT,YG DEVCOUNT
yg0gbf05nn1j3,yg0gbf05nn1j3,7.772,1.566,107
yg0gbf05nn1j5,yg0gbf05nn1j5,8.816,1.566,123
yg0gbf12ln1b0,yg0gbf12nn1b0,1.276,1.566,15
yg0gbf12ln1b5,yg0gbf12nn1b5,1.276,1.566,15
yg0gbf12ln1c0,yg0gbf12nn1c0,1.392,1.566,15
yg0gbf12ln1c5,yg0gbf12nn1c5,1.392,1.566,15
yg0gbf12ln1d0,yg0gbf12nn1d0,1.508,1.566,17
yg0gbf12ln1d5,yg0gbf12nn1d5,1.508,1.566,17
yg0gbf12ln1e0,yg0gbf12nn1e0,1.508,1.566,17
yg0gbf12ln1e5,yg0gbf12nn1e5,1.624,1.566,19
yg0gbf12ln1f0,yg0gbf12nn1f0,1.856,1.566,21
yg0gbf12ln1f5,yg0gbf12nn1f5,2.552,1.566,29
yg0gbf12ln1g0,yg0gbf12nn1g0,3.364,1.566,37
yg0gbf12ln1g5,yg0gbf12nn1g5,3.944,1.566,44
yg0gbf12ln1h0,yg0gbf12nn1h0,4.64,1.566,51
yg0gbf12nn1b0,yg0gbf12nn1b0,1.276,1.566,15
yg0gbf12nn1b5,yg0gbf12nn1b5,1.276,1.566,15
yg0gbf12nn1c0,yg0gbf12nn1c0,1.392,1.566,15
yg0gbf12nn1c5,yg0gbf12nn1c5,1.392,1.566,15
yg0gbf12nn1d0,yg0gbf12nn1d0,1.508,1.566,17
yg0gbf12nn1d5,yg0gbf12nn1d5,1.508,1.566,17
yg0gbf12nn1e0,yg0gbf12nn1e0,1.508,1.566,17
yg0gbf12nn1e5,yg0gbf12nn1e5,1.624,1.566,19
yg0gbf12nn1f0,yg0gbf12nn1f0,1.856,1.566,21
yg0gbf12nn1f5,yg0gbf12nn1f5,2.552,1.566,29
yg0gbf12nn1g0,yg0gbf12nn1g0,3.364,1.566,37
yg0gbf12nn1g5,yg0gbf12nn1g5,3.944,1.566,44
yg0gbf12nn1h0,yg0gbf12nn1h0,4.64,1.566,51
yg0gcnt2lnhd0,,12.18,3.132,110
yg0gcnt3lnhd0,,8.12,4.698,110
yg0gcnt6lnhd0,,4.06,9.396,110
yg0gen00ln1d0,yg0gen00nn1d0,2.088,1.566,24
yg0gen00ln1h0,yg0gen00nn1h0,4.872,1.566,64
yg0gen00nn1d0,yg0gen00nn1d0,2.088,1.566,24
yg0gen00nn1h0,yg0gen00nn1h0,4.872,1.566,64
yg0gftc0lnhd0,,6.148,1.566,43
yg0gin00ld1h7,yg0gin00nn1h7,1.276,3.132,28
yg0gin00ld1i0,yg0gin00nn1i0,1.392,3.132,32
yg0gin00ld1i3,yg0gin00nn1i3,1.508,3.132,36
yg0gin00ld1i5,yg0gin00nn1i5,1.624,3.132,40
yg0gin00ld1i7,yg0gin00nn1i7,1.856,3.132,47
yg0gin00ld1j0,yg0gin00nn1j0,2.088,3.132,52
yg0gin00ld1j3,yg0gin00nn1j3,2.204,3.132,60
yg0gin00ld1j5,yg0gin00nn1j5,2.668,3.132,71
yg0gin00ln1a3,yg0gin00nn1a3,0.348,1.566,2
yg0gin00ln1a5,yg0gin00nn1a5,0.348,1.566,2
yg0gin00ln1a7,yg0gin00nn1a7,0.348,1.566,2
yg0gin00ln1b0,yg0gin00nn1b0,0.348,1.566,2
yg0gin00ln1b3,yg0gin00nn1b3,0.348,1.566,2
yg0gin00ln1b5,yg0gin00nn1b5,0.348,1.566,2
yg0gin00ln1b7,yg0gin00nn1b7,0.348,1.566,2
yg0gin00ln1c0,yg0gin00nn1c0,0.348,1.566,2
yg0gin00ln1c3,yg0gin00nn1c3,0.348,1.566,2
yg0gin00ln1c5,yg0gin00nn1c5,0.348,1.566,2
yg0gin00ln1c7,yg0gin00nn1c7,0.348,1.566,2
yg0gin00ln1d0,yg0gin00nn1d0,0.464,1.566,4
yg0gin00ln1d3,yg0gin00nn1d3,0.464,1.566,4
yg0gin00ln1d5,yg0gin00nn1d5,0.464,1.566,4
yg0gin00ln1d7,yg0gin00nn1d7,0.464,1.566,4
yg0gin00ln1e0,yg0gin00nn1e0,0.464,1.566,4
yg0gin00ln1e3,yg0gin00nn1e3,0.58,1.566,6
yg0gin00ln1e5,yg0gin00nn1e5,0.58,1.566,6
yg0gin00ln1e7,yg0gin00nn1e7,0.58,1.566,6
yg0gin00ln1f0,yg0gin00nn1f0,0.696,1.566,8
yg0gin00ln1f3,yg0gin00nn1f3,0.696,1.566,8
yg0gin00ln1f5,yg0gin00nn1f5,0.812,1.566,10
yg0gin00ln1f7,yg0gin00nn1f7,0.812,1.566,10
yg0gin00ln1g0,yg0gin00nn1g0,1.16,1.566,13
yg0gin00ln1g3,yg0gin00nn1g3,1.276,1.566,15
yg0gin00ln1g5,yg0gin00nn1g5,1.392,1.566,18
yg0gin00ln1g7,yg0gin00nn1g7,1.508,1.566,20
yg0gin00ln1h0,yg0gin00nn1h0,1.624,1.566,22
yg0gin00ln1h3,yg0gin00nn1h3,1.856,1.566,26
yg0gin00ln1h5,yg0gin00nn1h5,1.972,1.566,28
yg0gin00ln1h7,yg0gin00nn1h7,2.204,1.566,32
yg0gin00ln1i0,yg0gin00nn1i0,2.436,1.566,36
yg0gin00ln1i3,yg0gin00nn1i3,2.668,1.566,40
yg0gin00ln1i5,yg0gin00nn1i5,3.016,1.566,46
yg0gin00ln1i7,yg0gin00nn1i7,3.364,1.566,52
yg0gin00ln1j0,yg0gin00nn1j0,3.712,1.566,58
yg0gin00ln1j3,yg0gin00nn1j3,4.292,1.566,68
yg0gin00ln1j5,yg0gin00nn1j5,4.756,1.566,76
yg0gin00nd1h7,yg0gin00nn1h7,1.276,3.132,28
yg0gin00nd1i0,yg0gin00nn1i0,1.392,3.132,32
yg0gin00nd1i3,yg0gin00nn1i3,1.508,3.132,36
yg0gin00nd1i5,yg0gin00nn1i5,1.624,3.132,40
yg0gin00nd1i7,yg0gin00nn1i7,1.856,3.132,47
yg0gin00nd1j0,yg0gin00nn1j0,2.088,3.132,52
yg0gin00nd1j3,yg0gin00nn1j3,2.204,3.132,60
yg0gin00nd1j5,yg0gin00nn1j5,2.668,3.132,71
yg0gin00nn1a3,yg0gin00nn1a3,0.348,1.566,2
yg0gin00nn1a5,yg0gin00nn1a5,0.348,1.566,2
yg0gin00nn1a7,yg0gin00nn1a7,0.348,1.566,2
yg0gin00nn1b0,yg0gin00nn1b0,0.348,1.566,2
yg0gin00nn1b3,yg0gin00nn1b3,0.348,1.566,2
yg0gin00nn1b5,yg0gin00nn1b5,0.348,1.566,2
yg0gin00nn1b7,yg0gin00nn1b7,0.348,1.566,2
yg0gin00nn1c0,yg0gin00nn1c0,0.348,1.566,2
yg0gin00nn1c3,yg0gin00nn1c3,0.348,1.566,2
yg0gin00nn1c5,yg0gin00nn1c5,0.348,1.566,2
yg0gin00nn1c7,yg0gin00nn1c7,0.348,1.566,2
yg0gin00nn1d0,yg0gin00nn1d0,0.464,1.566,4
yg0gin00nn1d3,yg0gin00nn1d3,0.464,1.566,4
yg0gin00nn1d5,yg0gin00nn1d5,0.464,1.566,4
yg0gin00nn1d7,yg0gin00nn1d7,0.464,1.566,4
yg0gin00nn1e0,yg0gin00nn1e0,0.464,1.566,4
yg0gin00nn1e3,yg0gin00nn1e3,0.58,1.566,6
yg0gin00nn1e5,yg0gin00nn1e5,0.58,1.566,6
yg0gin00nn1e7,yg0gin00nn1e7,0.58,1.566,6
yg0gin00nn1f0,yg0gin00nn1f0,0.696,1.566,8
yg0gin00nn1f3,yg0gin00nn1f3,0.696,1.566,8
yg0gin00nn1f5,yg0gin00nn1f5,0.812,1.566,10
yg0gin00nn1f7,yg0gin00nn1f7,0.812,1.566,10
yg0gin00nn1g0,yg0gin00nn1g0,1.16,1.566,13
yg0gin00nn1g3,yg0gin00nn1g3,1.276,1.566,15
yg0gin00nn1g5,yg0gin00nn1g5,1.392,1.566,18
yg0gin00nn1g7,yg0gin00nn1g7,1.508,1.566,20
yg0gin00nn1h0,yg0gin00nn1h0,1.624,1.566,22
yg0gin00nn1h3,yg0gin00nn1h3,1.856,1.566,26
yg0gin00nn1h5,yg0gin00nn1h5,1.972,1.566,28
yg0gin00nn1h7,yg0gin00nn1h7,2.204,1.566,32
yg0gin00nn1i0,yg0gin00nn1i0,2.436,1.566,36
yg0gin00nn1i3,yg0gin00nn1i3,2.668,1.566,40
yg0gin00nn1i5,yg0gin00nn1i5,3.016,1.566,46
yg0gin00nn1i7,yg0gin00nn1i7,3.364,1.566,52
yg0gin00nn1j0,yg0gin00nn1j0,3.712,1.566,58
yg0gin00nn1j3,yg0gin00nn1j3,4.292,1.566,68
yg0gin00nn1j5,yg0gin00nn1j5,4.756,1.566,76
yg0gna00ln1a5,yg0gna00nn1a5,0.464,1.566,4
yg0gna00ln1b0,yg0gna00nn1b0,0.58,1.566,4
yg0gna00ln1b5,yg0gna00nn1b5,0.58,1.566,4
yg0gna00ln1c0,yg0gna00nn1c0,0.58,1.566,4
yg0gna00ln1c5,yg0gna00nn1c5,0.58,1.566,5
yg0gna00ln1d0,yg0gna00nn1d0,0.58,1.566,6
yg0gna00ln1d5,yg0gna00nn1d5,0.812,1.566,9
yg0gna00ln1e0,yg0gna00nn1e0,0.812,1.566,9
yg0gna00ln1e5,yg0gna00nn1e5,1.044,1.566,12
yg0gna00ln1f0,yg0gna00nn1f0,1.16,1.566,14
yg0gna00ln1f5,yg0gna00nn1f5,1.508,1.566,18
yg0gna00ln1g0,yg0gna00nn1g0,1.856,1.566,23
yg0gna00ln1g5,yg0gna00nn1g5,2.204,1.566,28
yg0gna00ln1h0,yg0gna00nn1h0,2.784,1.566,36
yg0gna00nn1a5,yg0gna00nn1a5,0.464,1.566,4
yg0gna00nn1b0,yg0gna00nn1b0,0.58,1.566,4
yg0gna00nn1b5,yg0gna00nn1b5,0.58,1.566,4
yg0gna00nn1c0,yg0gna00nn1c0,0.58,1.566,4
yg0gna00nn1c5,yg0gna00nn1c5,0.58,1.566,5
yg0gna00nn1d0,yg0gna00nn1d0,0.58,1.566,6
yg0gna00nn1d5,yg0gna00nn1d5,0.812,1.566,9
yg0gna00nn1e0,yg0gna00nn1e0,0.812,1.566,9
yg0gna00nn1e5,yg0gna00nn1e5,1.044,1.566,12
yg0gna00nn1f0,yg0gna00nn1f0,1.16,1.566,14
yg0gna00nn1f5,yg0gna00nn1f5,1.508,1.566,18
yg0gna00nn1g0,yg0gna00nn1g0,1.856,1.566,23
yg0gna00nn1g5,yg0gna00nn1g5,2.204,1.566,28
yg0gna00nn1h0,yg0gna00nn1h0,2.784,1.566,36
yg0gno00ld1g0,yg0gno00nn1g0,1.74,3.132,30
yg0gno00ld1g5,yg0gno00nn1g5,2.088,3.132,39
yg0gno00ld1h0,yg0gno00nn1h0,2.436,3.132,48
yg0gno00ln1a5,yg0gno00nn1a5,0.58,1.566,5
yg0gno00ln1b0,yg0gno00nn1b0,0.58,1.566,5
yg0gno00ln1b5,yg0gno00nn1b5,0.58,1.566,5
yg0gno00ln1c0,yg0gno00nn1c0,0.58,1.566,5
yg0gno00ln1c5,yg0gno00nn1c5,0.812,1.566,9
yg0gno00ln1d0,yg0gno00nn1d0,0.812,1.566,9
yg0gno00ln1d5,yg0gno00nn1d5,0.928,1.566,10
yg0gno00ln1e0,yg0gno00nn1e0,1.16,1.566,13
yg0gno00ln1e5,yg0gno00nn1e5,1.392,1.566,17
yg0gno00ln1f0,yg0gno00nn1f0,1.74,1.566,22
yg0gno00ln1f5,yg0gno00nn1f5,2.088,1.566,23
yg0gno00ln1g0,yg0gno00nn1g0,2.668,1.566,30
yg0gno00ln1g5,yg0gno00nn1g5,3.364,1.566,39
yg0gno00ln1h0,yg0gno00nn1h0,4.176,1.566,49
yg0gno00nd1g0,yg0gno00nn1g0,1.74,3.132,30
yg0gno00nd1g5,yg0gno00nn1g5,2.088,3.132,39
yg0gno00nd1h0,yg0gno00nn1h0,2.436,3.132,48
yg0gno00nn1a5,yg0gno00nn1a5,0.58,1.566,5
yg0gno00nn1b0,yg0gno00nn1b0,0.58,1.566,5
yg0gno00nn1b5,yg0gno00nn1b5,0.58,1.566,5
yg0gno00nn1c0,yg0gno00nn1c0,0.58,1.566,5
yg0gno00nn1c5,yg0gno00nn1c5,0.812,1.566,9
yg0gno00nn1d0,yg0gno00nn1d0,0.812,1.566,9
yg0gno00nn1d5,yg0gno00nn1d5,0.928,1.566,10
yg0gno00nn1e0,yg0gno00nn1e0,1.16,1.566,13
yg0gno00nn1e5,yg0gno00nn1e5,1.392,1.566,17
yg0gno00nn1f0,yg0gno00nn1f0,1.74,1.566,22
yg0gno00nn1f5,yg0gno00nn1f5,2.088,1.566,23
yg0gno00nn1g0,yg0gno00nn1g0,2.668,1.566,30
yg0gno00nn1g5,yg0gno00nn1g5,3.364,1.566,39
yg0gno00nn1h0,yg0gno00nn1h0,4.176,1.566,49
yg0gor00ld1i0,yg0gor00nn1i0,2.552,3.132,52
yg0gor00ld1i3,yg0gor00nn1i3,2.784,3.132,59
yg0gor00ld1i5,yg0gor00nn1i5,3.132,3.132,65
yg0gor00ld1i7,yg0gor00nn1i7,3.48,3.132,74
yg0gor00ld1j0,yg0gor00nn1j0,3.944,3.132,84
yg0gor00ld1j3,yg0gor00nn1j3,4.408,3.132,96
yg0gor00ld1j5,yg0gor00nn1j5,4.872,3.132,108
yg0gor00ln1a0,yg0gor00nn1a0,0.812,1.566,6
yg0gor00ln1a3,yg0gor00nn1a3,0.812,1.566,6
yg0gor00ln1a5,yg0gor00nn1a5,0.812,1.566,6
yg0gor00ln1a7,yg0gor00nn1a7,0.812,1.566,6
yg0gor00ln1b0,yg0gor00nn1b0,0.696,1.566,6
yg0gor00ln1b3,yg0gor00nn1b3,0.696,1.566,6
yg0gor00ln1b5,yg0gor00nn1b5,0.696,1.566,6
yg0gor00ln1b7,yg0gor00nn1b7,0.696,1.566,6
yg0gor00ln1c0,yg0gor00nn1c0,0.696,1.566,6
yg0gor00ln1c3,yg0gor00nn1c3,0.696,1.566,6
yg0gor00ln1c5,yg0gor00nn1c5,0.812,1.566,7
yg0gor00ln1c7,yg0gor00nn1c7,0.812,1.566,7
yg0gor00ln1d0,yg0gor00nn1d0,0.812,1.566,7
yg0gor00ln1d3,yg0gor00nn1d3,0.812,1.566,8
yg0gor00ln1d5,yg0gor00nn1d5,0.812,1.566,8
yg0gor00ln1d7,yg0gor00nn1d7,0.928,1.566,8
yg0gor00ln1e0,yg0gor00nn1e0,0.928,1.566,8
yg0gor00ln1e3,yg0gor00nn1e3,1.16,1.566,11
yg0gor00ln1e5,yg0gor00nn1e5,1.16,1.566,11
yg0gor00ln1e7,yg0gor00nn1e7,1.16,1.566,11
yg0gor00ln1f0,yg0gor00nn1f0,1.276,1.566,12
yg0gor00ln1f3,yg0gor00nn1f3,1.276,1.566,13
yg0gor00ln1f5,yg0gor00nn1f5,1.392,1.566,14
yg0gor00ln1f7,yg0gor00nn1f7,1.508,1.566,17
yg0gor00ln1g0,yg0gor00nn1g0,1.74,1.566,21
yg0gor00ln1g3,yg0gor00nn1g3,1.972,1.566,24
yg0gor00ln1g5,yg0gor00nn1g5,2.204,1.566,28
yg0gor00ln1g7,yg0gor00nn1g7,2.436,1.566,31
yg0gor00ln1h0,yg0gor00nn1h0,2.552,1.566,34
yg0gor00ln1h3,yg0gor00nn1h3,2.9,1.566,38
yg0gor00ln1h5,yg0gor00nn1h5,3.132,1.566,41
yg0gor00ln1h7,yg0gor00nn1h7,3.48,1.566,48
yg0gor00ln1i0,yg0gor00nn1i0,3.944,1.566,53
yg0gor00ln1i3,yg0gor00nn1i3,4.292,1.566,60
yg0gor00ln1i5,yg0gor00nn1i5,4.988,1.566,70
yg0gor00ln1i7,yg0gor00nn1i7,5.568,1.566,79
yg0gor00ln1j0,yg0gor00nn1j0,6.148,1.566,88
yg0gor00ln1j3,yg0gor00nn1j3,7.076,1.566,103
yg0gor00ln1j5,yg0gor00nn1j5,7.772,1.566,113
yg0gor00nd1i0,yg0gor00nn1i0,2.552,3.132,52
yg0gor00nd1i3,yg0gor00nn1i3,2.784,3.132,59
yg0gor00nd1i5,yg0gor00nn1i5,3.132,3.132,65
yg0gor00nd1i7,yg0gor00nn1i7,3.48,3.132,74
yg0gor00nd1j0,yg0gor00nn1j0,3.944,3.132,84
yg0gor00nd1j3,yg0gor00nn1j3,4.408,3.132,96
yg0gor00nd1j5,yg0gor00nn1j5,4.872,3.132,108
yg0gor00nn1a0,yg0gor00nn1a0,0.812,1.566,6
yg0gor00nn1a3,yg0gor00nn1a3,0.812,1.566,6
yg0gor00nn1a5,yg0gor00nn1a5,0.812,1.566,6
yg0gor00nn1a7,yg0gor00nn1a7,0.812,1.566,6
yg0gor00nn1b0,yg0gor00nn1b0,0.696,1.566,6
yg0gor00nn1b3,yg0gor00nn1b3,0.696,1.566,6
yg0gor00nn1b5,yg0gor00nn1b5,0.696,1.566,6
yg0gor00nn1b7,yg0gor00nn1b7,0.696,1.566,6
yg0gor00nn1c0,yg0gor00nn1c0,0.696,1.566,6
yg0gor00nn1c3,yg0gor00nn1c3,0.696,1.566,6
yg0gor00nn1c5,yg0gor00nn1c5,0.812,1.566,7
yg0gor00nn1c7,yg0gor00nn1c7,0.812,1.566,7
yg0gor00nn1d0,yg0gor00nn1d0,0.812,1.566,7
yg0gor00nn1d3,yg0gor00nn1d3,0.812,1.566,8
yg0gor00nn1d5,yg0gor00nn1d5,0.812,1.566,8
yg0gor00nn1d7,yg0gor00nn1d7,0.928,1.566,8
yg0gor00nn1e0,yg0gor00nn1e0,0.928,1.566,8
yg0gor00nn1e3,yg0gor00nn1e3,1.16,1.566,11
yg0gor00nn1e5,yg0gor00nn1e5,1.16,1.566,11
yg0gor00nn1e7,yg0gor00nn1e7,1.16,1.566,11
yg0gor00nn1f0,yg0gor00nn1f0,1.276,1.566,12
yg0gor00nn1f3,yg0gor00nn1f3,1.276,1.566,13
yg0gor00nn1f5,yg0gor00nn1f5,1.392,1.566,14
yg0gor00nn1f7,yg0gor00nn1f7,1.508,1.566,17
yg0gor00nn1g0,yg0gor00nn1g0,1.74,1.566,21
yg0gor00nn1g3,yg0gor00nn1g3,1.972,1.566,24
yg0gor00nn1g5,yg0gor00nn1g5,2.204,1.566,28
yg0gor00nn1g7,yg0gor00nn1g7,2.436,1.566,31
yg0gor00nn1h0,yg0gor00nn1h0,2.552,1.566,34
yg0gor00nn1h3,yg0gor00nn1h3,2.9,1.566,38
yg0gor00nn1h5,yg0gor00nn1h5,3.132,1.566,41
yg0gor00nn1h7,yg0gor00nn1h7,3.48,1.566,48
yg0gor00nn1i0,yg0gor00nn1i0,3.944,1.566,53
yg0gor00nn1i3,yg0gor00nn1i3,4.292,1.566,60
yg0gor00nn1i5,yg0gor00nn1i5,4.988,1.566,70
yg0gor00nn1i7,yg0gor00nn1i7,5.568,1.566,79
yg0gor00nn1j0,yg0gor00nn1j0,6.148,1.566,88
yg0gor00nn1j3,yg0gor00nn1j3,7.076,1.566,103
yg0gor00nn1j5,yg0gor00nn1j5,7.772,1.566,113
yg0gor05ld1h3,yg0gor05nn1h3,2.552,3.132,49
yg0gor05ld1h5,yg0gor05nn1h5,2.552,3.132,51
yg0gor05ld1h7,yg0gor05nn1h7,2.9,3.132,60
yg0gor05ld1i0,yg0gor05nn1i0,3.132,3.132,69
yg0gor05ld1i3,yg0gor05nn1i3,3.48,3.132,83
yg0gor05ld1i5,yg0gor05nn1i5,3.712,3.132,88
yg0gor05ld1i7,yg0gor05nn1i7,3.828,3.132,93
yg0gor05ld1j0,yg0gor05nn1j0,4.64,3.132,107
yg0gor05ld1j3,yg0gor05nn1j3,5.22,3.132,129
yg0gor05ld1j5,yg0gor05nn1j5,5.336,3.132,132
yg0gor05ln1c5,yg0gor05nn1c5,1.856,1.566,12
yg0gor05ln1c7,yg0gor05nn1c7,1.856,1.566,12
yg0gor05ln1d0,yg0gor05nn1d0,1.856,1.566,12
yg0gor05ln1d3,yg0gor05nn1d3,1.856,1.566,12
yg0gor05ln1d5,yg0gor05nn1d5,1.856,1.566,12
yg0gor05ln1d7,yg0gor05nn1d7,1.856,1.566,12
yg0gor05ln1e0,yg0gor05nn1e0,2.088,1.566,16
yg0gor05ln1e3,yg0gor05nn1e3,2.204,1.566,17
yg0gor05ln1e5,yg0gor05nn1e5,2.204,1.566,17
yg0gor05ln1e7,yg0gor05nn1e7,2.204,1.566,17
yg0gor05ln1f0,yg0gor05nn1f0,2.32,1.566,19
yg0gor05ln1f3,yg0gor05nn1f3,2.32,1.566,19
yg0gor05ln1f5,yg0gor05nn1f5,2.552,1.566,23
yg0gor05ln1f7,yg0gor05nn1f7,2.668,1.566,25
yg0gor05ln1g0,yg0gor05nn1g0,2.784,1.566,27
yg0gor05ln1g3,yg0gor05nn1g3,3.016,1.566,30
yg0gor05ln1g5,yg0gor05nn1g5,3.48,1.566,35
yg0gor05ln1g7,yg0gor05nn1g7,3.712,1.566,38
yg0gor05ln1h0,yg0gor05nn1h0,3.828,1.566,41
yg0gor05ln1h3,yg0gor05nn1h3,4.06,1.566,50
yg0gor05ln1h5,yg0gor05nn1h5,4.756,1.566,56
yg0gor05ln1h7,yg0gor05nn1h7,5.104,1.566,60
yg0gor05ln1i0,yg0gor05nn1i0,5.568,1.566,69
yg0gor05ln1i3,yg0gor05nn1i3,5.916,1.566,77
yg0gor05ln1i5,yg0gor05nn1i5,6.496,1.566,87
yg0gor05ln1i7,yg0gor05nn1i7,6.96,1.566,94
yg0gor05ln1j0,yg0gor05nn1j0,8.12,1.566,106
yg0gor05ln1j3,yg0gor05nn1j3,9.28,1.566,127
yg0gor05ln1j5,yg0gor05nn1j5,9.744,1.566,133
yg0gor05nd1h3,yg0gor05nn1h3,2.552,3.132,49
yg0gor05nd1h5,yg0gor05nn1h5,2.552,3.132,51
yg0gor05nd1h7,yg0gor05nn1h7,2.9,3.132,60
yg0gor05nd1i0,yg0gor05nn1i0,3.132,3.132,69
yg0gor05nd1i3,yg0gor05nn1i3,3.48,3.132,83
yg0gor05nd1i5,yg0gor05nn1i5,3.712,3.132,88
yg0gor05nd1i7,yg0gor05nn1i7,3.828,3.132,93
yg0gor05nd1j0,yg0gor05nn1j0,4.64,3.132,107
yg0gor05nd1j3,yg0gor05nn1j3,5.22,3.132,129
yg0gor05nd1j5,yg0gor05nn1j5,5.336,3.132,132
yg0gor05nn1c5,yg0gor05nn1c5,1.856,1.566,12
yg0gor05nn1c7,yg0gor05nn1c7,1.856,1.566,12
yg0gor05nn1d0,yg0gor05nn1d0,1.856,1.566,12
yg0gor05nn1d3,yg0gor05nn1d3,1.856,1.566,12
yg0gor05nn1d5,yg0gor05nn1d5,1.856,1.566,12
yg0gor05nn1d7,yg0gor05nn1d7,1.856,1.566,12
yg0gor05nn1e0,yg0gor05nn1e0,2.088,1.566,16
yg0gor05nn1e3,yg0gor05nn1e3,2.204,1.566,17
yg0gor05nn1e5,yg0gor05nn1e5,2.204,1.566,17
yg0gor05nn1e7,yg0gor05nn1e7,2.204,1.566,17
yg0gor05nn1f0,yg0gor05nn1f0,2.32,1.566,19
yg0gor05nn1f3,yg0gor05nn1f3,2.32,1.566,19
yg0gor05nn1f5,yg0gor05nn1f5,2.552,1.566,23
yg0gor05nn1f7,yg0gor05nn1f7,2.668,1.566,25
yg0gor05nn1g0,yg0gor05nn1g0,2.784,1.566,27
yg0gor05nn1g3,yg0gor05nn1g3,3.016,1.566,30
yg0gor05nn1g5,yg0gor05nn1g5,3.48,1.566,35
yg0gor05nn1g7,yg0gor05nn1g7,3.712,1.566,38
yg0gor05nn1h0,yg0gor05nn1h0,3.828,1.566,41
yg0gor05nn1h3,yg0gor05nn1h3,4.06,1.566,50
yg0gor05nn1h5,yg0gor05nn1h5,4.756,1.566,56
yg0gor05nn1h7,yg0gor05nn1h7,5.104,1.566,60
yg0gor05nn1i0,yg0gor05nn1i0,5.568,1.566,69
yg0gor05nn1i3,yg0gor05nn1i3,5.916,1.566,77
yg0gor05nn1i5,yg0gor05nn1i5,6.496,1.566,87
yg0gor05nn1i7,yg0gor05nn1i7,6.96,1.566,94
yg0gor05nn1j0,yg0gor05nn1j0,8.12,1.566,106
yg0gor05nn1j3,yg0gor05nn1j3,9.28,1.566,127
yg0gor05nn1j5,yg0gor05nn1j5,9.744,1.566,133
yg0gsn00ln1d0,yg0gsn00nn1d0,1.972,1.566,22
yg0gsn00ln1h0,yg0gsn00nn1h0,4.176,1.566,54
yg0gsn00nn1d0,yg0gsn00nn1d0,1.972,1.566,22
yg0gsn00nn1h0,yg0gsn00nn1h0,4.176,1.566,54
yg0gtn00ln1d0,yg0gtn00nn1d0,2.668,1.566,30
yg0gtn00ln1h0,yg0gtn00nn1h0,5.8,1.566,73
yg0gtn00nn1d0,yg0gtn00nn1d0,2.668,1.566,30
yg0gtn00nn1h0,yg0gtn00nn1h0,5.8,1.566,73
yg0hgf00ln1d0,,2.552,1.566,22
yg0hgf02lnhd0,,5.684,1.566,26
yg0hgf03lnhd0,,8.816,1.566,26
yg0hgf80ln1d0,,2.552,1.566,22
yg0inn00ld1i5,yg0inn00nn1i5,1.624,3.132,40
yg0inn00ld1i7,yg0inn00nn1i7,1.856,3.132,48
yg0inn00ld1j0,yg0inn00nn1j0,1.972,3.132,52
yg0inn00ld1j3,yg0inn00nn1j3,2.32,3.132,64
yg0inn00ld1j5,yg0inn00nn1j5,2.436,3.132,68
yg0inn00ldpi5,yg0inn00nnpi5,1.508,3.132,40
yg0inn00ldpi7,yg0inn00nnpi7,1.624,3.132,44
yg0inn00ldpj0,yg0inn00nnpj0,1.856,3.132,48
yg0inn00ldpj3,yg0inn00nnpj3,2.088,3.132,56
yg0inn00ldpj5,yg0inn00nnpj5,2.32,3.132,64
yg0inn00ln1a0,yg0inn00nn1a0,0.348,1.566,2
yg0inn00ln1a3,yg0inn00nn1a3,0.348,1.566,2
yg0inn00ln1a5,yg0inn00nn1a5,0.348,1.566,2
yg0inn00ln1a7,yg0inn00nn1a7,0.348,1.566,2
yg0inn00ln1b0,yg0inn00nn1b0,0.348,1.566,2
yg0inn00ln1b3,yg0inn00nn1b3,0.348,1.566,2
yg0inn00ln1b5,yg0inn00nn1b5,0.348,1.566,2
yg0inn00ln1b7,yg0inn00nn1b7,0.348,1.566,2
yg0inn00ln1c0,yg0inn00nn1c0,0.348,1.566,2
yg0inn00ln1c3,yg0inn00nn1c3,0.348,1.566,2
yg0inn00ln1c5,yg0inn00nn1c5,0.348,1.566,2
yg0inn00ln1c7,yg0inn00nn1c7,0.348,1.566,2
yg0inn00ln1d0,yg0inn00nn1d0,0.348,1.566,2
yg0inn00ln1d3,yg0inn00nn1d3,0.464,1.566,4
yg0inn00ln1d5,yg0inn00nn1d5,0.464,1.566,4
yg0inn00ln1d7,yg0inn00nn1d7,0.464,1.566,4
yg0inn00ln1e0,yg0inn00nn1e0,0.464,1.566,4
yg0inn00ln1e3,yg0inn00nn1e3,0.464,1.566,4
yg0inn00ln1e5,yg0inn00nn1e5,0.58,1.566,6
yg0inn00ln1e7,yg0inn00nn1e7,0.58,1.566,6
yg0inn00ln1f0,yg0inn00nn1f0,0.58,1.566,6
yg0inn00ln1f3,yg0inn00nn1f3,0.696,1.566,8
yg0inn00ln1f5,yg0inn00nn1f5,0.696,1.566,8
yg0inn00ln1f7,yg0inn00nn1f7,0.812,1.566,10
yg0inn00ln1g0,yg0inn00nn1g0,0.812,1.566,10
yg0inn00ln1g3,yg0inn00nn1g3,1.276,1.566,16
yg0inn00ln1g5,yg0inn00nn1g5,1.276,1.566,16
yg0inn00ln1g7,yg0inn00nn1g7,1.392,1.566,18
