YG CELL NAME,YG NOMINAL CELL NAME,YG WIDTH,YG HEIGHT,YG DEVCOUNT
yg0bfn10nn1a0,yg0bfn10nn1a0,0.464,1.566,4
yg0bfn10nn1a5,yg0bfn10nn1a5,0.464,1.566,4
yg0bfn10nn1b0,yg0bfn10nn1b0,0.464,1.566,4
yg0bfn10nn1b5,yg0bfn10nn1b5,0.464,1.566,4
yg0bfn10nn1c0,yg0bfn10nn1c0,0.58,1.566,4
yg0bfn10nn1c5,yg0bfn10nn1c5,0.58,1.566,4
yg0bfn10nn1d0,yg0bfn10nn1d0,0.58,1.566,6
yg0bfn10nn1d5,yg0bfn10nn1d5,0.696,1.566,6
yg0bfn10nn1e0,yg0bfn10nn1e0,0.696,1.566,6
yg0bfn10nn1e5,yg0bfn10nn1e5,0.812,1.566,8
yg0bfn10nn1f0,yg0bfn10nn1f0,0.812,1.566,10
yg0bfn10nn1f5,yg0bfn10nn1f5,0.928,1.566,10
yg0bfn10nn1g0,yg0bfn10nn1g0,1.276,1.566,18
yg0bfn10nn1g5,yg0bfn10nn1g5,1.392,1.566,20
yg0bfn10nn1h0,yg0bfn10nn1h0,1.74,1.566,26
yg0bfn10nn1h5,yg0bfn10nn1h5,2.088,1.566,32
yg0bfn10nn1i0,yg0bfn10nn1i0,2.668,1.566,42
yg0bfn10nn1i5,yg0bfn10nn1i5,3.596,1.566,58
yg0bfn10nn1j0,yg0bfn10nn1j0,4.292,1.566,70
yg0bfn11ln1a0,yg0bfn11nn1a0,0.464,1.566,6
yg0bfn11ln1b0,yg0bfn11nn1b0,0.58,1.566,6
yg0bfn11ln1c0,yg0bfn11nn1c0,0.696,1.566,6
yg0bfn11ln1d0,yg0bfn11nn1d0,0.696,1.566,6
yg0bfn11ln1e0,yg0bfn11nn1e0,0.812,1.566,8
yg0bfn11ln1f0,yg0bfn11nn1f0,0.928,1.566,12
yg0bfn11ln1g0,yg0bfn11nn1g0,1.16,1.566,16
yg0bfn11ln1h0,yg0bfn11nn1h0,2.088,1.566,28
yg0bfn11nn1a0,yg0bfn11nn1a0,0.464,1.566,6
yg0bfn11nn1b0,yg0bfn11nn1b0,0.58,1.566,6
yg0bfn11nn1c0,yg0bfn11nn1c0,0.696,1.566,6
yg0bfn11nn1d0,yg0bfn11nn1d0,0.696,1.566,6
yg0bfn11nn1e0,yg0bfn11nn1e0,0.812,1.566,8
yg0bfn11nn1f0,yg0bfn11nn1f0,0.928,1.566,12
yg0bfn11nn1g0,yg0bfn11nn1g0,1.16,1.566,16
yg0bfn11nn1h0,yg0bfn11nn1h0,2.088,1.566,28
yg0bfn12ln1a0,yg0bfn12nn1a0,0.696,1.566,8
yg0bfn12ln1b0,yg0bfn12nn1b0,0.696,1.566,8
yg0bfn12ln1c0,yg0bfn12nn1c0,0.812,1.566,8
yg0bfn12ln1d0,yg0bfn12nn1d0,0.812,1.566,8
yg0bfn12ln1e0,yg0bfn12nn1e0,1.16,1.566,12
yg0bfn12ln1f0,yg0bfn12nn1f0,1.16,1.566,16
yg0bfn12ln1g0,yg0bfn12nn1g0,2.088,1.566,28
yg0bfn12ln1h0,yg0bfn12nn1h0,3.016,1.566,48
yg0bfn12nn1a0,yg0bfn12nn1a0,0.696,1.566,8
yg0bfn12nn1b0,yg0bfn12nn1b0,0.696,1.566,8
yg0bfn12nn1c0,yg0bfn12nn1c0,0.812,1.566,8
yg0bfn12nn1d0,yg0bfn12nn1d0,0.812,1.566,8
yg0bfn12nn1e0,yg0bfn12nn1e0,1.16,1.566,12
yg0bfn12nn1f0,yg0bfn12nn1f0,1.16,1.566,16
yg0bfn12nn1g0,yg0bfn12nn1g0,2.088,1.566,28
yg0bfn12nn1h0,yg0bfn12nn1h0,3.016,1.566,48
yg0bfn30ln1a0,yg0bfn30nn1a0,0.464,1.566,4
yg0bfn30ln1a5,yg0bfn30nn1a5,0.464,1.566,4
yg0bfn30ln1b0,yg0bfn30nn1b0,0.464,1.566,4
yg0bfn30ln1b5,yg0bfn30nn1b5,0.58,1.566,4
yg0bfn30ln1c0,yg0bfn30nn1c0,0.58,1.566,6
yg0bfn30ln1c5,yg0bfn30nn1c5,0.58,1.566,6
yg0bfn30ln1d0,yg0bfn30nn1d0,0.696,1.566,6
yg0bfn30ln1d5,yg0bfn30nn1d5,0.696,1.566,6
yg0bfn30ln1e0,yg0bfn30nn1e0,0.696,1.566,7
yg0bfn30ln1e5,yg0bfn30nn1e5,0.812,1.566,9
yg0bfn30ln1f0,yg0bfn30nn1f0,1.044,1.566,11
yg0bfn30ln1f5,yg0bfn30nn1f5,1.16,1.566,13
yg0bfn30ln1g0,yg0bfn30nn1g0,1.392,1.566,20
