YG MAJOR,YG MINOR,YG CELL NAME,NOMINAL YG CELL NAME,AI MAJOR,AI MINOR,AI CELL NAME,MAPPING COUNT,LIB,DRAWN OR ESTIMATED,QUALITY,SHORTS/GRID,INTERFACE,X SCALE FACTOR,X GROWTH (PITCHES),Y SCALE FACTOR,LATEST CHECKIN DATE,LATEST CHECKIN OWNER,ORIGINAL CHECKIN DATE,ORIGINAL CHECKIN OWNER,COMMENTS,TOTAL INSTANCES,YG CELL WIDTH,YG CELL HEIGHT,YG CELL AREA,YG INSTANCE AREA,YG POLY PITCHES,YG DEVCOUNT,AI CELL WIDTH,AI CELL HEIGHT,AI POLY PITCHES,CSV GENERATION DATE,INSTANCE SUMMARY,FUB USAGE
yg0ann,yg0ann92ln1,yg0ann92ln1c0,yg0ann92nn1c0,ai0ann,ai0ann92ln0,ai0ann92ln0c0,1,,,,,,,,,,,,,,4,0.696,1.566,1.089936,4.359744,6,5,,,,Fri Dec 12 09:52:19 2008,regf->(4),bpbitarym
yg0ann,yg0ann92ln1,yg0ann92ln1d0,yg0ann92nn1d0,ai0ann,ai0ann92ln0,ai0ann92ln0d0,1,,,,,,,,,,,,,,,0.696,1.566,1.089936,,6,5,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92ln1,yg0ann92ln1e0,yg0ann92nn1e0,ai0ann,ai0ann92ln0,ai0ann92ln0e0,1,,,,,,,,,,,,,,,0.928,1.566,1.453248,,8,6,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92ln1,yg0ann92ln1f0,yg0ann92nn1f0,ai0ann,ai0ann92ln0,ai0ann92ln0f0,1,,,,,,,,,,,,,,,1.044,1.566,1.634904,,9,9,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92ln1,yg0ann92ln1g0,yg0ann92nn1g0,ai0ann,ai0ann92ln0,ai0ann92ln0g0,1,,,,,,,,,,,,,,,1.044,1.566,1.634904,,9,12,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92ln1,yg0ann92ln1h0,yg0ann92nn1h0,ai0ann,ai0ann92ln0,ai0ann92ln0h0,1,,,,,,,,,,,,,,,1.276,1.566,1.998216,,11,16,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92ln1,yg0ann92ln1i0,yg0ann92nn1i0,ai0ann,ai0ann92ln0,ai0ann92ln0i0,1,,,,,,,,,,,,,,,2.204,1.566,3.451464,,19,26,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92nn1,yg0ann92nn1a0,yg0ann92nn1a0,ai0ann,ai0ann92nn0,ai0ann92nn0a0,2,,,,,,,,,,,,,,,0.58,1.566,0.90828,,5,5,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92nn1,yg0ann92nn1b0,yg0ann92nn1b0,ai0ann,ai0ann92nn0,ai0ann92nn0a0,2,,,,,,,,,,,,,,,0.58,1.566,0.90828,,5,5,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92nn1,yg0ann92nn1c0,yg0ann92nn1c0,ai0ann,ai0ann92nn0,ai0ann92nn0c0,1,,,,,,,,,,,,,,110,0.696,1.566,1.089936,119.89296,6,5,,,,Fri Dec 12 09:52:19 2008,regf->(110),bpbitarym:rscanc
yg0ann,yg0ann92nn1,yg0ann92nn1d0,yg0ann92nn1d0,ai0ann,ai0ann92nn0,ai0ann92nn0d0,1,,,,,,,,,,,,,,2,0.696,1.566,1.089936,2.179872,6,5,,,,Fri Dec 12 09:52:19 2008,regf->(2),rsldsetupc
yg0ann,yg0ann92nn1,yg0ann92nn1e0,yg0ann92nn1e0,ai0ann,ai0ann92nn0,ai0ann92nn0e0,1,,,,,,,,,,,,,,,0.928,1.566,1.453248,,8,6,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92nn1,yg0ann92nn1f0,yg0ann92nn1f0,ai0ann,ai0ann92nn0,ai0ann92nn0f0,1,,,,,,,,,,,,,,,1.044,1.566,1.634904,,9,9,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92nn1,yg0ann92nn1g0,yg0ann92nn1g0,ai0ann,ai0ann92nn0,ai0ann92nn0g0,1,,,,,,,,,,,,,,,1.044,1.566,1.634904,,9,12,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92nn1,yg0ann92nn1h0,yg0ann92nn1h0,ai0ann,ai0ann92nn0,ai0ann92nn0h0,1,,,,,,,,,,,,,,,1.276,1.566,1.998216,,11,16,,,,Fri Dec 12 09:52:19 2008,,
yg0ann,yg0ann92nn1,yg0ann92nn1i0,yg0ann92nn1i0,ai0ann,ai0ann92nn0,ai0ann92nn0i0,1,,,,,,,,,,,,,,,2.204,1.566,3.451464,,19,26,,,,Fri Dec 12 09:52:19 2008,,
yg0bfn,yg0bfn00ln1,yg0bfn00ln1a0,yg0bfn00nn1a0,ai0bfn,ai0bfn00ln0,ai0bfn00ln0a0,1,,,,,,,,,,,,,,3021,0.464,1.566,0.726624,2195.131104,4,4,,,,Fri Dec 12 09:52:19 2008,datap->(437) regf->(2583) rls->(1),agmead:baaddpvd:barsbd:bpbimodalm:bptargettrgm:cbaddrm:cbadpm:cbauxm:cbbldm:cbblpm:cbringturnd:cbsbfm:dsbpfrqd:dsbtagm:ifldchainc:mcrrdd:mcwdbd:mlidirepd:mltagaryd:molscdecd:moslaryd:mosraryd:mpcbocohtrkd:mpgdxcd:mpmcarbd:mpvtdefaztlbd:mpvtdefaztrkd:ncsteerd:pcierf16d:pcierf8dmid:rahtc:ralatdpc:raphtc:rareclc:rscanc:rsldmtxc:rsldsetupc:sabhub0dh:sabhub1dh:sabhub1dl:sabhub2dh:saedfxs
yg0bfn,yg0bfn00ln1,yg0bfn00ln1a3,yg0bfn00nn1a3,ai0bfn,ai0bfn00ln0,ai0bfn00ln0a3,1,,,,,,,,,,,,,,22,0.464,1.566,0.726624,15.985728,4,4,,,,Fri Dec 12 09:52:19 2008,datap->(8) regf->(13) rls->(1),bpglobalm:cbauxm:dsbnatrgd:dtmuxd:mpmcarbd:mpvtdefaztlbd:saedfxs
yg0bfn,yg0bfn00ln1,yg0bfn00ln1a5,yg0bfn00nn1a5,ai0bfn,ai0bfn00ln0,ai0bfn00ln0a5,1,ai0study,drawn,CLEAN,0,0,0.775862068965517,0,0.727969348659004,2008-11-18 00:10:59,snguyen,2008-9-10 11:37:45,drbennet,,140,0.464,1.566,0.726624,101.72736,4,4,0.36,1.14,4,Fri Dec 12 09:52:19 2008,datap->(46) regf->(94),barsbd:cbbldm:dsbofsetm:dsbpfrqd:dsbtagm:ifldchainc:mcrpqd:mcwdbd:mlstlruarym:mpgdxcd:mpmcarbd:mpvtdefaztlbd
yg0bfn,yg0bfn00ln1,yg0bfn00ln1a7,yg0bfn00nn1a7,ai0bfn,ai0bfn00ln0,ai0bfn00ln0a7,4,,,,,,,,,,,,,,386,0.464,1.566,0.726624,280.476864,4,4,,,,Fri Dec 12 09:52:19 2008,datap->(180) gigacell->(2) regf->(159) repeater->(19) rls->(2) rom->(24),aglad:agmead:agsrfd:alrmc:alroxd:alrsd:barsbd:bpbimodalm:bpbitarym:bpglobalm:bpitargetm:bpnipd:bpstewd:bptargettagm:bptargettrgm:cbadam:cbaddrm:cbadpm:cbakpm:cbauxm:cbbenm:cbbldm:cbblpm:cbbottomd:cbbvam:cbcltstd:cbeccd:cbivpm:cbringturnd:cbsbfm:cbtopd:dcbdatan:dccstated:dcctagd:dcibbankd:dcibtagd:dciparrayd:dcl1bankd:dcl1muxd:dclrud:dcphyadrd:dcrotated:dcsetmuxd:dsbdata01d:dsbdata23d:dsbdata45d:dsbfilld:dsbimmdatad:dsbimmexpd:dsbnatrgd:dsbofsetm:dsbqfast:dsbqslow:dsbsortd:dsbtagm:dtdataryd:dtiobrkc:dtmuxd:dttagaryd:exehfphrpt5d:exehfphrpt6d:exehfplrpt5d:exehfplrpt6d:exehienrpt5d:exehienrpt6d:exehmi1rptd:exevfplrpt1d:exevie1rptd:exevsicrpt1d:fpaaddd:fpaalgd:fparndd:fpdpostd:fpdqremd:fpmgenfd:fpmgensd:fpmrndd:fpmwtreefd:fpmwtreesd:fpshufhd:fpshufld:idespdatam:idqctln:idqimmd:idqued:iealumx5c:iealumxc:iecrud:iemulhd:iemulld:iescratchd:ieshiftmxd:ieslowuopd:ifiqc:ifldchainc:iftlbd:iqlipm:iqnuked:iqsteerd:mccmuxd:mcrpqd:mcrrdd:mcwdbd:mihimxfd:mihimxsd:milomxfd:milomxid:milomxsd:mipresrfd:miromcfd:mirsmxid:misdbm:mldatamuxd:mldatarym:mlecccorrd:mleccd:mlprefd:mlsnpd:mlsqbd:mlsqd:mlstlruarym:mltagaryd:mltagarym:molhistd:mollaryd:molraryd:molscdecd:moslaryd:mosld:moslnaryd:moslnccd:mosnoopd:mosraryd:mosscdecd:mpbgfall2md:mpbgfm2alld:mpcbocohtrkd:mpcbodbd:mpgdxcd:mpgfxtrkd:mpiorddbd:mpiowrdbd:mpmcarbd:mpringifcd:mpvtdefaztlbd:mpvtdefaztrkd:mpvtigdtlbtrkd:msdecn:msidvrpt13:msidvrpt21:msidvrpt23:mspatchm:msptrrom:msram:msuipmuxn:msuromptrhi01:msuromptrhi23:msuromptrlo01:msuromptrlo23:msuromuniq0:msuromuniq1:msuromuniq2:msuromuniq3:musthrpt7:musthrpt9:mustvrpt15:ncsteerd:pcierf16d:pcierf8dmid:pmdpregd:pmpdearyd:pmrrasidd:pmsnddatam:pmsndlrum:pmsndtagm:ptpram:ptpromprog:rabygend:raflc:rahtc:ralatdpc:raphtc:raramc:rareclc:roalc:robttd:roipaddd:roptrd:rortbufd:rostalld:rowbac:rsbpc:rsbpd:rscanc:rseumtxc:rseusetupc:rsfpprfhc:rsfpprflc:rsimmc:rsintprfc:rsldmtxc:rsldsetupc:rssched:rssimdprfhc:rssimdprflc:rsuopc:sabhub0dh:sabhub0dl:sabhub1dh:sabhub1dl:sabhub2dh:sabhub2dl:saedfxs:scdpd:shufgssed:siaesd:sialud:sishiftd:sishufhd:sishufld:sisttnic
yg0bfn,yg0bfn00ln1,yg0bfn00ln1b0,yg0bfn00nn1b0,ai0bfn,ai0bfn00ln0,ai0bfn00ln0a7,4,,,,,,,,,,,,,,10623,0.464,1.566,0.726624,7718.926752,4,4,,,,Fri Dec 12 09:52:19 2008,datap->(3474) gigacell->(37) regf->(3398) repeater->(775) rls->(2935) special_circuit->(4),agdecfltc:baaddpvd:barsbd:bpbimodalm:bpbitarym:bpitargetm:bpnipd:bptargettrgm:cbadam:cbadpm:cbakpm:cbauxm:cbbenm:cbbldm:cbblpm:cbbvam:cbcltstd:cbeccd:cbfuses:cbingctls:cbismqs:cbivpm:cbpipes:cbpmas:cbsbfm:dcctagd:dcibbankd:dcibtagd:dcipctls:dclrud:dcm:dcregs:dcrotated:dsbofsetm:dsbpfrqd:dsbsortd:dsbtagm:dtctls:exehfphrpt6d:exehfplrpt6d:exehienrpt5d:exevfplrpt1d:exevmirpt1d:exevsicrpt1d:fpactls:fpmctlss:fpmgensd:fpmrctls:fpmrndd:fpmwtreesd:fpromrs:fpshufhd:fpshufld:gioddr2crep0:gioddr2crep1:gioddr2crep4:gioddrcomp:gioddrdata:giodpl:giodpp:giolgcitp:giolgcpwr:giopcichunk:giopcicom:giopcirpt:gsas:idqctln:idxlat0d:ieslowcts:ieuni0cts:ieuni1cts:ifldchainc:ifsnps:ifuvrpt1:lldatbnk:lltagbnk:lltagifc:mccmuxd:mcmnts:mcrpqd:mcrrdd:mcscheds:mcwdbd:micrctlc:mirsmxid:mldfxd:mlidirepd:mlsnps:mlsqbd:mltagaryd:mltagarym:mltagstlrd:mltaidcode:molhistd:molscdecd:moslaryd:moslnaryd:moslnccd:mosnoopd:mosraryd:mosscdecd:mpbgfall2md:mpbgfm2alld:mpcbobgfus:mpcbocohtrkd:mpcohtrks:mpgdxcd:mpgfxtrkd:mpiorddbd:mpiotrks:mpiowrdbd:mpmcarbd:mpmcarbs:mpringifcd:mpvtdefaztlbd:mpvtdefaztlbs:mpvtdefaztrkd:mpvtdtrks:mpvtigdtlbtrkd:msctrls:mspatchm:ncradecs:pciedl16s:pciedl8s:pcielanes:pcierf16d:pcierf8dmid:pcietl16pegs:pcietl8dmis:pcietl8pegs:pcieutills:pcieutilrs:ptpcioregs:ptpcuctls:ptpromprog:ractlc:raflc:raphtc:roalc:rotests:rsbpc:rsfpprfhc:rsintprfc:rsldmtxc:rsldsetupc:rssched:rssimdprfhc:sabhub0dh:sabhub2dl:saedfxs:sanoas:sdcm:shufgssed:siaesd:siport0ctls
