AI CELL NAME,ai0cld WIDTH,ai0cld HEIGHT,ai0study WIDTH,ai0study HEIGHT,ai3study WIDTH,ai3study HEIGHT,ai7study WIDTH,ai7study HEIGHT
ai0com03nn0d3,,,1.62,1.14,,,,
ai0com03nn0d5,,,1.89,1.14,,,,
ai0com03nn0d7,,,1.89,1.14,,,,
ai0com03nn0e0,,,2.25,1.14,,,,
ai0com43nn0d0,,,1.08,1.14,,,,
ai0fan03lnhb0,,,2.25,1.14,,,,
ai0fan03nnhb0,,,2.25,1.14,,,,
ai0fan4aldhb0,,,2.16,2.28,,,,
ai0fan4andhd0,,,2.16,2.28,,,,
ai0fsn00lnha0,,,1.35,1.14,,,,
ai0fsn00lnha5,,,1.35,1.14,,,,
ai0fsn00lnhb0,,,1.44,1.14,,,,
ai0fsn00lnhb5,,,1.44,1.14,,,,
ai0fsn00lnhc0,,,1.53,1.14,,,,
ai0fsn00lnhc5,,,1.53,1.14,,,,
ai0fsn00lnhd0,,,1.53,1.14,,,,
ai0fsn00lnhe0,,,1.62,1.14,,,,
ai0fsn00nnha0,,,1.35,1.14,,,,
ai0fsn00nnha5,,,1.35,1.14,,,,
ai0fsn00nnhb0,,,1.35,1.14,,,,
ai0fsn00nnhb5,,,1.44,1.14,,,,
ai0fsn00nnhc0,,,1.53,1.14,,,,
ai0fsn00nnhd0,,,1.53,1.14,,,,
ai0fsn00nnhe0,,,1.62,1.14,,,,
ai0fsn00nnhe5,,,1.89,1.14,,,,
ai0fsn00nnhf0,,,1.89,1.14,,,,
ai0fsn40lnhc0,,,2.7,1.14,,,,
ai0fsn43lnhb0,,,2.97,1.14,,,,
ai0fsn43lnhc0,,,2.97,1.14,,,,
ai0fsn43lnhd0,,,4.05,1.14,,,,
ai0fsn80nnha0,,,1.53,1.14,,,,
ai0fsn80nnha5,,,1.53,1.14,,,,
ai0fsn80nnhd0,,,1.44,1.14,,,,
ai0fso01lnha0,,,2.7,1.14,,,,
ai0fso01lnhb0,,,2.7,1.14,,,,
ai0fso01lnhc0,,,2.7,1.14,,,,
ai0fso01lnhd0,,,2.88,1.14,,,,
ai0fso01lnhe0,,,3.33,1.14,,,,
ai0fso01lnhf0,,,3.6,1.14,,,,
ai0fso01ndha0,,,1.44,2.28,,,,
ai0fso01ndhb0,,,1.44,2.28,,,,
ai0fso01nnha0,,,2.7,1.14,,,,
ai0fso01nnhb0,,,2.7,1.14,,,,
ai0fso01nnhc0,,,2.7,1.14,,,,
ai0fso01nnhd0,,,2.88,1.14,,,,
ai0fso01nnhe0,,,3.33,1.14,,,,
ai0fso01nnhf0,,,3.6,1.14,,,,
ai0fso02ldhb0,,,1.44,2.28,,,,
ai0fso02lnha0,,,2.88,1.14,,,,
ai0fso02lnhb0,,,2.88,1.14,,,,
ai0fso02lnhc0,,,2.88,1.14,,,,
ai0fso02lnhd0,,,3.06,1.14,,,,
ai0fso02lnhe0,,,3.42,1.14,,,,
ai0fso02lnhf0,,,3.69,1.14,,,,
ai0fso02ndhb0,,,1.44,2.28,,,,
ai0fso02nnha0,,,2.88,1.14,,,,
ai0fso02nnhb0,,,2.88,1.14,,,,
ai0fso02nnhc0,,,2.88,1.14,,,,
ai0fso02nnhd0,,,3.06,1.14,,,,
ai0fso02nnhe0,,,3.42,1.14,,,,
ai0fso02nnhf0,,,3.69,1.14,,,,
