AI CELL NAME,ai0cld WIDTH,ai0cld HEIGHT,ai0study WIDTH,ai0study HEIGHT,ai3study WIDTH,ai3study HEIGHT,ai7study WIDTH,ai7study HEIGHT
ai0nan22nn0c0,,,0.36,1.14,,,,
ai0nan22nn0c5,,,0.36,1.14,,,,
ai0nan22nn0c7,,,0.36,1.14,,,,
ai0nan22nn0d0,,,0.36,1.14,,,,
ai0nan22nn0d5,,,0.54,1.14,,,,
ai0nan22nn0d7,,,0.54,1.14,,,,
ai0nan22nn0e0,,,0.54,1.14,,,,
ai0nan22nn0e3,,,0.54,1.14,,,,
ai0nan22nn0e5,,,0.54,1.14,,,,
ai0nan22nn0e7,,,0.72,1.14,,,,
ai0nan22nn0f0,,,0.72,1.14,,,,
ai0nan22nn0f3,,,0.72,1.14,,,,
ai0nan22nn0f5,,,0.9,1.14,,,,
ai0nan22nn0f7,,,0.9,1.14,,,,
ai0nan22nn0g0,,,1.08,1.14,,,,
ai0nan22nn0g3,,,1.26,1.14,,,,
ai0nan22nn0g5,,,1.26,1.14,,,,
ai0nan22nn0g7,,,1.44,1.14,,,,
ai0nan22nn0h0,,,1.62,1.14,,,,
ai0nan22nn0h3,,,1.8,1.14,,,,
ai0nan22nn0h5,,,1.98,1.14,,,,
ai0nan22nn0h7,,,2.16,1.14,,,,
ai0nan22nn0i0,,,2.52,1.14,,,,
ai0nan23ln0d0,,,0.45,1.14,,,,
ai0nan23ln0e0,,,0.81,1.14,,,,
ai0nan23ln0e5,,,0.99,1.14,,,,
ai0nan23ln0f0,,,0.99,1.14,,,,
ai0nan23nn0d0,,,0.45,1.14,,,,
ai0nan23nn0e0,,,0.81,1.14,,,,
ai0nan23nn0g0,,,1.53,1.14,,,,
ai0nan42ln0a0,,,0.36,1.14,,,,
ai0nan42ln0a3,,,0.36,1.14,,,,
ai0nan42ln0a7,,,0.36,1.14,,,,
ai0nan42ln0b3,,,0.36,1.14,,,,
ai0nan42ln0b5,,,0.36,1.14,,,,
ai0nan42ln0b7,,,0.36,1.14,,,,
ai0nan42ln0c0,,,0.54,1.14,,,,
ai0nan42ln0c3,,,0.54,1.14,,,,
ai0nan42ln0c5,,,0.54,1.14,,,,
ai0nan42ln0c7,,,0.54,1.14,,,,
ai0nan42ln0d0,,,0.54,1.14,,,,
ai0nan42ln0d3,,,0.54,1.14,,,,
ai0nan42ln0d5,,,0.72,1.14,,,,
ai0nan42ln0d7,,,0.72,1.14,,,,
ai0nan42ln0e0,,,0.72,1.14,,,,
ai0nan42ln0e3,,,0.9,1.14,,,,
ai0nan42ln0e5,,,0.9,1.14,,,,
ai0nan42ln0e7,,,1.08,1.14,,,,
ai0nan42ln0f0,,,1.26,1.14,,,,
ai0nan42ln0f3,,,1.26,1.14,,,,
ai0nan42ln0f5,,,1.44,1.14,,,,
ai0nan42ln0f7,,,1.62,1.14,,,,
ai0nan42ln0g0,,,1.8,1.14,,,,
ai0nan42ln0g3,,,1.98,1.14,,,,
ai0nan42ln0g5,,,2.16,1.14,,,,
ai0nan42ln0g7,,,2.34,1.14,,,,
ai0nan42ln0h0,,,2.88,1.14,,,,
ai0nan42ln0h3,,,3.24,1.14,,,,
ai0nan42ln0h5,,,3.42,1.14,,,,
ai0nan42nn0a0,,,0.36,1.14,,,,
ai0nan42nn0a3,,,0.36,1.14,,,,
ai0nan42nn0a7,,,0.36,1.14,,,,
ai0nan42nn0b3,,,0.36,1.14,,,,
ai0nan42nn0b5,,,0.36,1.14,,,,
ai0nan42nn0b7,,,0.36,1.14,,,,
ai0nan42nn0c0,,,0.54,1.14,,,,
ai0nan42nn0c3,,,0.54,1.14,,,,
ai0nan42nn0c5,,,0.54,1.14,,,,
ai0nan42nn0c7,,,0.54,1.14,,,,
ai0nan42nn0d0,,,0.54,1.14,,,,
ai0nan42nn0d3,,,0.54,1.14,,,,
ai0nan42nn0d5,,,0.72,1.14,,,,
ai0nan42nn0d7,,,0.72,1.14,,,,
ai0nan42nn0e0,,,0.72,1.14,,,,
ai0nan42nn0e3,,,0.9,1.14,,,,
ai0nan42nn0e5,,,0.9,1.14,,,,
ai0nan42nn0e7,,,1.08,1.14,,,,
ai0nan42nn0f0,,,1.26,1.14,,,,
ai0nan42nn0f3,,,1.26,1.14,,,,
ai0nan42nn0f5,,,1.44,1.14,,,,
ai0nan42nn0f7,,,1.62,1.14,,,,
ai0nan42nn0g0,,,1.8,1.14,,,,
ai0nan42nn0g3,,,1.98,1.14,,,,
ai0nan42nn0g5,,,2.16,1.14,,,,
ai0nan42nn0g7,,,2.34,1.14,,,,
ai0nan42nn0h0,,,2.88,1.14,,,,
ai0nan42nn0h3,,,3.24,1.14,,,,
ai0nan42nn0h5,,,3.42,1.14,,,,
ai0non02ln0b0,,,0.36,1.14,,,,
ai0non02ln0b5,,,0.36,1.14,,,,
ai0non02ln0c0,,,0.36,1.14,,,,
ai0non02ln0d0,,,0.54,1.14,,,,
ai0non02ln0f0,,,0.9,1.14,,,,
ai0non02nn0a0,,,0.36,1.14,,,,
ai0non02nn0b0,,,0.36,1.14,,,,
ai0non02nn0b5,,,0.36,1.14,,,,
ai0non02nn0c0,,,0.36,1.14,,,,
ai0non02nn0c5,,,0.36,1.14,,,,
ai0non02nn0c7,,,0.36,1.14,,,,
ai0non02nn0d0,,,0.54,1.14,,,,
ai0non02nn0d5,,,0.54,1.14,,,,
ai0non02nn0d7,,,0.54,1.14,,,,
ai0non02nn0e5,,,0.72,1.14,,,,
ai0non02nn0f0,,,0.9,1.14,,,,
ai0non02nn0f5,,,1.08,1.14,,,,
ai0non02nn0g5,,,1.62,1.14,,,,
ai0non02nn0h0,,,2.16,1.14,,,,
ai0non03nn0c0,,,0.45,1.14,,,,
ai0non03nn0d5,,,0.9,1.14,,,,
ai0non03nn0d7,,,0.99,1.14,,,,
ai0non03nn0e0,,,0.99,1.14,,,,
ai0non03nn0e7,,,1.35,1.14,,,,
ai0non03nn0f0,,,1.53,1.14,,,,
ai0non03nn0f5,,,1.89,1.14,,,,
ai0non12ln0d0,,,0.36,1.14,,,,
ai0non12ln0e3,,,0.54,1.14,,,,
ai0non12ln0f0,,,0.72,1.14,,,,
ai0non12nn0a3,,,0.36,1.14,,,,
ai0non12nn0b3,,,0.36,1.14,,,,
ai0non12nn0c7,,,0.36,1.14,,,,
ai0non12nn0d0,,,0.36,1.14,,,,
ai0non12nn0e3,,,0.54,1.14,,,,
ai0non42nn0d0,,,0.72,1.14,,,,
ai0non42nn0e0,,,0.9,1.14,,,,
ai0non42nn0g0,,,2.34,1.14,,,,
ai0non43nn0d0,,,1.35,1.14,,,,
ai0sdl01jn0b5,,,0.81,1.14,,,,
ai0xnn02nn0c0,,,0.81,1.14,,,,
ai0xnn02nn0d0,,,1.17,1.14,,,,
ai0xon02ln0a7,,,0.81,1.14,,,,
ai0xon02nn0a7,,,0.81,1.14,,,,
ai0xon02nn0d0,,,0.9,1.14,,,,
ai0xon02nn0d3,,,1.08,1.14,,,,
ai0xon02nn0d7,,,1.35,1.14,,,,
ai0xon02nn0e0,,,1.44,1.14,,,,
ai0xon02nn0e7,,,1.53,1.14,,,,
ai0xon02nn0f0,,,1.71,1.14,,,,
ai0xon12nn0h0,,,3.06,1.14,,,,
ai0xor03nd0d0,,,1.44,2.28,,,,
ai3din00ln0b5,,,,,0.27,1.14,,
ai3gkp02nn0e5,,,,,0.54,1.14,,
ai3gkp02nn0f5,,,,,0.72,1.14,,
ai3gkp02nn0g5,,,,,0.72,1.14,,
ai3lno02nn0e5,,,,,0.36,1.14,,
ai3lno03nn0f5,,,,,0.45,1.14,,
ai3lno03nn0g5,,,,,0.45,1.14,,
ai3lpc01ln0b5,,,,,0.72,1.14,,
ai3mdb20nn0b0,,,,,0.54,1.14,,
ai3mdb20nn0b3,,,,,0.54,1.14,,
ai3mdb20nn0c0,,,,,0.54,1.14,,
ai3mdb20nn0d0,,,,,0.63,1.14,,
ai3mdb20nn0d5,,,,,0.63,1.14,,
ai3mdb20nn0e0,,,,,0.81,1.14,,
ai3mdb20nn0e5,,,,,0.81,1.14,,
ai3mdb20nn0f0,,,,,0.81,1.14,,
ai3mdb20nn0g0,,,,,1.08,1.14,,
ai3mdb20nn0g3,,,,,1.08,1.14,,
ai3mdb40nn0b0,,,,,0.54,1.14,,
ai3mdb40nn0c0,,,,,0.54,1.14,,
ai3mdb40nn0c5,,,,,0.63,1.14,,
ai3mdb40nn0d0,,,,,0.63,1.14,,
ai3mdb40nn0d5,,,,,0.63,1.14,,
ai3mdb40nn0e0,,,,,0.81,1.14,,
ai3mdb40nn0e5,,,,,0.81,1.14,,
ai3mdb40nn0f0,,,,,0.81,1.14,,
ai3mdb40nn0f5,,,,,0.9,1.14,,
ai3mdb40nn0g0,,,,,0.99,1.14,,
ai3mdb40nn0g5,,,,,0.99,1.14,,
ai3mdb40nn0h0,,,,,1.17,1.14,,
ai3min00nn0f0,,,,,0.453,1.14,,
ai3min00nn0h0,,,,,1.08,1.14,,
ai3mpb20nn0f0,,,,,0.54,1.14,,
ai3mpb20nn0h0,,,,,0.72,1.14,,
ai3mpb40nn0f0,,,,,0.54,1.14,,
ai3oin00ln0b5,,,,,0.27,1.14,,
ai7dcvccbias,,,,,,,0.18,1.32
ai7gen00lv1f1,,,,,,,0.36,1.14
ai7gen00lv1g1,,,,,,,0.36,1.14
ai7gen00lv1h1,,,,,,,0.45,1.14
ai7gen00lv1i1,,,,,,,0.54,1.14
ai7gpn02kn1f1,,,,,,,0.72,1.14
ai7gpn02kn1g1,,,,,,,0.72,1.14
ai7gpn02kn1h1,,,,,,,0.72,1.14
ai7gpn02kn1i1,,,,,,,0.81,1.14
ai7gpn02kn1j1,,,,,,,0.9,1.14
ai7gpn02kn1k1,,,,,,,0.9,1.14
ai7gpn02kn1l1,,,,,,,1.17,1.14
ai7gpn02kn1m1,,,,,,,1.44,1.14
ai7inr10sn1e1,,,,,,,0.36,1.14
ai7inr10sn1i1,,,,,,,0.36,1.14
ai7inr10sn1j1,,,,,,,0.36,1.14
ai7inr10sn1l1,,,,,,,0.36,1.14
ai7inr10sn1m1,,,,,,,0.36,1.14
ai7inr10sn1n1,,,,,,,0.36,1.14
ai7inr10sn1o1,,,,,,,0.36,1.14
ai7inr10sn1p1,,,,,,,0.36,1.14
ai7inr10sn1q1,,,,,,,0.36,1.14
ai7la001kn1h1,,,,,,,0.45,1.14
ai7la001kn1l1,,,,,,,0.54,1.14
ai7la011kf1f1,,,,,,,0.36,2.28
ai7mc011kt1h1,,,,,,,0.18,1.32
ai7mc011kv1f1,,,,,,,0.36,1.14
ai7mc011kv1h1,,,,,,,0.36,1.14
ai7mc011kv1j1,,,,,,,0.36,1.14
ai7mc011kv1l1,,,,,,,0.36,1.14
ai7mc011ll1h1,,,,,,,0.18,1.32
ai7mc011vv1j1,,,,,,,0.54,1.14
ai7mc021kv1f1,,,,,,,0.36,1.14
ai7mc021kv1h1,,,,,,,0.36,1.14
ai7mc021kv1j1,,,,,,,0.36,1.14
ai7mc021kv1l1,,,,,,,0.36,1.14
ai7mc111kv1l1,,,,,,,0.36,1.32
ai7mc121kv1j1,,,,,,,0.36,1.44
ai7memcell1r1w2x2_15,,,,,,,0.36,2.64
ai7memcell1r1wll2x2_15,,,,,,,0.36,2.64
ai7nag22nn0c7,,,,,,,0.36,1.14
ai7nag22nn0d3,,,,,,,0.36,1.14
ai7nag22nn0d5,,,,,,,0.36,1.14
ai7nag22nn0e0,,,,,,,0.36,1.14
ai7nag22nn0e3,,,,,,,0.36,1.14
ai7nag22nn0e5,,,,,,,0.63,1.14
ai7nag22nn0e7,,,,,,,0.63,1.14
ai7nag23nn0c7,,,,,,,0.36,1.14
ai7nag23nn0d3,,,,,,,0.36,1.14
ai7nag23nn0d5,,,,,,,0.36,1.14
ai7nag23nn0d7,,,,,,,0.54,1.14
ai7nag23nn0e0,,,,,,,0.54,1.14
ai7nag23nn0e3,,,,,,,0.72,1.14
ai7nag23nn0e5,,,,,,,0.72,1.14
ai7nag23nn0e7,,,,,,,0.72,1.14
ai7nag42nn0c7,,,,,,,0.36,1.14
ai7nag42nn0d3,,,,,,,0.36,1.14
ai7nag42nn0d5,,,,,,,0.36,1.14
ai7nag42nn0e0,,,,,,,0.36,1.14
ai7nag42nn0e3,,,,,,,0.36,1.14
ai7nag42nn0e5,,,,,,,0.45,1.14
ai7nag42nn0e7,,,,,,,0.45,1.14
ai7nag42nn0f0,,,,,,,0.54,1.14
ai7nag43nn0d0,,,,,,,0.36,1.14
ai7nag43nn0d5,,,,,,,0.36,1.14
ai7nag43nn0d7,,,,,,,0.54,1.14
ai7nag43nn0e3,,,,,,,0.54,1.14
ai7nag43nn0e5,,,,,,,0.63,1.14
ai7nag43nn0e7,,,,,,,0.63,1.14
ai7nag43nn0f0,,,,,,,0.9,1.14
ai7nog42nn0a0,,,,,,,0.36,1.14
ai7nog42nn0a5,,,,,,,0.36,1.14
ai7nog42nn0b3,,,,,,,0.36,1.14
ai7nog42nn0c0,,,,,,,0.36,1.14
ai7nog42nn0c7,,,,,,,0.36,1.14
ai7nog42nn0d3,,,,,,,0.45,1.14
ai7nog42nn0d7,,,,,,,0.54,1.14
ai7nog42nn0e3,,,,,,,0.72,1.14
ai7nog42nn0e7,,,,,,,0.9,1.14
ai7rdg02kt1l1,,,,,,,1.44,1.32
ai7rdg02kt1m1,,,,,,,1.62,1.32
ai7rdg02kv1f1,,,,,,,1.62,1.14
ai7rdg02kv1f2,,,,,,,1.62,1.14
ai7rdg02kv1h1,,,,,,,1.62,1.14
ai7rdg02kv1h2,,,,,,,1.62,1.14
ai7rdg02kv1j1,,,,,,,1.62,1.14
ai7rdg02kv1j2,,,,,,,1.62,1.14
ai7rdg02kv1l1,,,,,,,1.62,1.14
ai7rdg02kv1l2,,,,,,,1.62,1.14
ai7rdm02kn1f1,,,,,,,1.26,1.14
ai7rdm02kn1h1,,,,,,,1.26,1.14
ai7rdm02kn1j1,,,,,,,1.26,1.14
ai7rdm02kn1l1,,,,,,,1.26,1.14
ai7rdp01kn1f1,,,,,,,0.45,1.14
ai7slicebundlex2_15,,,,,,,5.04,2.64
ai7wrd02ln1f1,,,,,,,0.54,1.14
ai7wrd02ln1g1,,,,,,,0.54,1.14
ai7wrd02ln1h1,,,,,,,0.54,1.14
ai7wrd02ln1i1,,,,,,,0.54,1.14
ai7wrd02ln1j1,,,,,,,0.81,1.14
ai7wrd02ln1k1,,,,,,,0.81,1.14
ai7wrd02lt1f1,,,,,,,0.45,1.32
ai7wrd02lt1h1,,,,,,,0.54,1.32
ai7wrd02lt1j1,,,,,,,0.63,1.32
ai7wri02ln1c1,,,,,,,0.36,1.14
ai7wri02ln1d1,,,,,,,0.36,1.14
ai7wri02ln1e1,,,,,,,0.36,1.14
ai7wri02ln1f1,,,,,,,0.36,1.14
ai7wri02ln1g1,,,,,,,0.36,1.14
ai7wri02ln1h1,,,,,,,0.36,1.14
ai7wri02ln1i1,,,,,,,0.45,1.14
ai7wri02ln1j1,,,,,,,0.45,1.14
an4cm111kn2h1,,,,,,,0.9,1.14
an4cm111kthh1,,,,,,,0.72,3.42
an4cm111ktih1,,,,,,,0.72,2.28
an4cm111ktoh1,,,,,,,0.72,2.28
an4cm111ktxh1,,,,,,,0.72,3.42
an4cm111kv2h1,,,,,,,0.72,1.276
an4cm112kn2h1,,,,,,,0.9,1.14
an4cm121kn2h1,,,,,,,0.99,1.14
an4cm221kn2l1,,,,,,,1.8,1.14
an4la011kf2l1,,,,,,,0.36,2.28
an4la011kn2j1,,,,,,,0.99,1.14
an4la011kt2l1,,,,,,,0.36,1.44
an4la012kn2l1,,,,,,,0.9,1.14
an4la022kn2l1,,,,,,,0.9,1.14
an4la032kn2l1,,,,,,,0.9,1.14
an4la911kv2h1,,,,,,,0.81,1.14
an4la921kv2h1,,,,,,,0.81,1.14
an4mc012kn2h1,,,,,,,0.63,1.14
an4mc922kn2h1,,,,,,,1.35,1.14
an4mc932kn2h1,,,,,,,1.8,1.14
an4memcell1r1w2x1_15,,,,,,,0.36,1.32
an4slicebundlex1_15,,,,,,,5.04,1.32
