Flow,Error Code,finish,lor1_signoff,Comment,Description
DVE,CM_51,disable,enable,"Not in DRCD, part of density flow","CM_51: cumulative floating metal5,4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_51"
DVE,CM_61,disable,enable,"Not in DRCD, part of density flow","CM_61: cumulative floating metal6,5,4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_61"
DVE,CM_71,disable,enable,"Not in DRCD, part of density flow","CM_71: cumulative floating metal7,6,5,4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_71"
DVE,CM_81,disable,enable,"Not in DRCD, part of density flow","CM_81: cumulative floating metal8,7,6,5,4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_81"
DVE,DA_01,enable,enable,,"DA_01: no Diff, TCN or GCN allowed in Transition Ring"
DVE,DA_02,enable,enable,,"DA_02: poly only width = PL_01, AN_03, AN_04, AN_05"
DVE,DA_03,enable,enable,,DA_03: poly not on template (off-pitch or incorrect length)
DVE,DA_11,enable,enable,,DA_11: only rectangular polytd allowed
DVE,DA_12,enable,enable,,DA_12: min polytd space in non_gate_dir = DA_12
DVE,DA_13,enable,enable,,DA_13: min polytd space in gate_dir = DA_13
DVE,DA_14,enable,enable,,DA_14: min polytd corner to corner space = DA_14
DVE,DC_00,enable,enable,,DC_00: only rectangular diffcon shapes are allowed
DVE,DC_01,enable,enable,,DC_01: only diffcon width = DC_01
DVE,DC_02,enable,enable,,DC_02: min diffcon length = DC_02
DVE,DC_03,enable,enable,,DC_03: min diffcon end-to-end space = DC_03
DVE,DC_04/gt,disable,enable,TCN fill not handled in fub finish (Needs to be a part of mig fill delivery),DC_04/gt: diffcon side space to poly > DC_04
DVE,DC_04/lt,enable,enable,,DC_04/lt: diffcon side space to poly < DC_04
DVE,DC_05,disable,disable,TCN fill not handled in fub finish (Needs to be a part of mig fill delivery),"DC_05: max spacing between any diffcon or polycon edges, in the smaller dir = DC_05"
DVE,DC_11,enable,enable,,DC_11: min diffcon end extent beyond diff = DC_11
DVE,DC_12,enable,enable,,DC_12: All gate-SD edges require adjacent diffcon along the entire gate-SD edge
DVE,DC_13,enable,enable,,DC_13: All diff section must have at least 1 diffcon
DVE,DC_21,enable,enable,,"DC_21: Diffcon pitch, only allowed value = DC_21"
DVE,DF_01,enable,enable,,"DF_01: min transistor diff width (N,P) = DF_01"
DVE,DF_02,enable,enable,,DF_02: min device width = DF_02 and device length = PL_01
DVE,DF_03,enable,enable,,DF_03: max device width = DF_03
