Flow,Error Code,lor1,Comment,Description
DVE,BC_13,enable,,"BC_13: min transistor diff facing-edge space, gate-dir (P) = BC_13"
DVE,BC_14,enable,,BC_14: min width of single_sided jogged S/D diff (N) = BC_14
DVE,BC_21,enable,,BC_21: min poly endcap = BC_21
DVE,BC_23,enable,,BC_23: SRAM poly space to n-transistor diffusion < BC_23
DVE,BC_31,enable,,BC_31: min diffcon end-to-end space = BC_31
DVE,BC_32,enable,,BC_32: min diffcon end extent beyond diff = BC_32
DVE,BC_33,enable,,BC_33: All gate-SD edges require adjacent diffcon along at least 70nm of gate-SD edge
DVE,BC_41,enable,,BC_41: min polycon side enclosure by poly end = BC_41
DVE,BC_42,enable,,BC_42: min polycon_bc end extent beyond poly_bc side = BC_42
DVE,BC_43,enable,,BC_43: min polycon side space to gated diffusion edge = BC_43
DVE,BC_44,enable,,BC_44: min polycon side space to diffcon end = BC_44
DVE,BC_51,enable,,BC_51: min svia1_bc corner-to-corner space to rvia0_bc = BC_51
DVE,BC_52/V1_11,enable,,BC_52/V1_11: min svia1_bc enclosure by metal1_bc = BC_52 orthogonal V1_11
DVE,BC_61,enable,,BC_61: min metal1_bc internal corner-to-corner spacing = BC_61
DVE,BC_71,enable,,BC_71: nactive space to mnsd < BC_71
DVE,BC_74,enable,,BC_74: mnsd enclosure of pactive < BC_74
DVE,BC_77,enable,,BC_77: n-tip block space to active ndiff edge < BC_77
DVE,BC_78,enable,,BC_78: p-tip block space to active pdiff edge < BC_78
DVE,BC_79,enable,,BC_79: n-tip block enclosure of active pdiff edge < BC_79
DVE,BC_80,enable,,BC_80: p-tip block enclosure of active ndiff edge < BC_80
DVE,BC_81,enable,,BC_81: min mpsd concave corner space to active p+ diff corner = BC_81
DVE,BC_81,enable,,BC_81: mnsd width < BC_81
DVE,BC_84,enable,,BC_84: mnsd space < BC_84
DVE,BC_85,enable,,BC_85: mnsd space < BC_85
DVE,BC_90,enable,,BC_90: n-tip block space to ntap < BC_90
DVE,BC_93,enable,,BC_93: min mnsd convex corner encl of active p+ diff corner = BC_93
DVE,BC_94,enable,,BC_94: min mnsd convex corner encl of active p+ diff corner = BC_94
DVE,BC_95,enable,,BC_95: min mpsd concave corner space to active p+ diff corner = BC_95
DVE,BU_01/BU_01,enable,,BU_01/BU_01: only bump size = BU_01 x BU_01
DVE,BU_02,enable,,BU_02: bump to bump center-to-center separation
DVE,BU_03,enable,,BU_03: Each bump must have a via9
DVE,CD_21,disable,Min density rule,CD_21: concentrated local metal1 density < CD_21
DVE,CD_22,enable,,CD_22: concentrated local metal1 density > CD_22
DVE,CD_23,disable,Min density rule,CD_23: concentrated local metal2 density < CD_23
DVE,CD_24,enable,,CD_24: concentrated local metal2 density > CD_24
DVE,CD_25,disable,Min density rule,CD_25: concentrated local metal3 density < CD_25
DVE,CD_26,enable,,CD_26: concentrated local metal3 density > CD_26
DVE,CD_27,enable,,CD_27: concentrated local metal4 density > CD_27
DVE,CD_28,enable,,CD_28: concentrated local metal5 density > CD_28
DVE,CD_29,enable,,CD_29: concentrated local metal6 density > CD_29
DVE,CD_30,enable,,CD_30: concentrated local metal7 density > CD_30
DVE,CM_41,enable,,"CM_41: cumulative floating metal4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_41"
DVE,CM_51,enable,,"CM_51: cumulative floating metal5,4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_51"
DVE,CM_61,enable,,"CM_61: cumulative floating metal6,5,4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_61"
DVE,CM_71,enable,,"CM_71: cumulative floating metal7,6,5,4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_71"
DVE,CM_81,enable,,"CM_81: cumulative floating metal8,7,6,5,4,3,2,1 area with or without facing edge not connected to  diff or gate > CM_81"
DVE,DA_01,enable,,"DA_01: no Diff, TCN or GCN allowed in Transition Ring"
DVE,DA_02,enable,,"DA_02: poly only width = PL_01, AN_03, AN_04, AN_05"
DVE,DA_03,enable,,DA_03: poly not on template (off-pitch or incorrect length)
DVE,DA_11,enable,,DA_11: only rectangular polytd allowed
DVE,DA_12,enable,,DA_12: min polytd space in non_gate_dir = DA_12
DVE,DA_13,enable,,DA_13: min polytd space in gate_dir = DA_13
DVE,DA_14,enable,,DA_14: min polytd corner to corner space = DA_14
DVE,DC_00,enable,,DC_00: only rectangular diffcon shapes are allowed
DVE,DC_01,enable,,DC_01: only diffcon width = DC_01
DVE,DC_02,enable,,DC_02: min diffcon length = DC_02
DVE,DC_03,enable,,DC_03: min diffcon end-to-end space = DC_03
DVE,DC_04/gt,enable,,DC_04/gt: diffcon side space to poly > DC_04
DVE,DC_04/lt,enable,,DC_04/lt: diffcon side space to poly < DC_04
DVE,DC_05,disable,TCN density,"DC_05: max spacing between any diffcon or polycon edges, in the smaller dir = DC_05"
DVE,DC_11,enable,,DC_11: min diffcon end extent beyond diff = DC_11
DVE,DC_12,enable,,DC_12: All gate-SD edges require adjacent diffcon along the entire gate-SD edge
DVE,DC_13,enable,,DC_13: All diff section must have at least 1 diffcon
